,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
2928,2928,ITAL, 101,Alumni,0203,MWF,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
99,99,ANTH,  89,Alumni,0203,MWF,10:10 - 11:00,22,1900-01-01 10:25:00,1900-01-01 11:15:00
2890,2890,FREN, 101,Alumni,0203,MWF,11:15 - 12:05,15,1900-01-01 11:45:00,1900-01-01 12:35:00
185,185,ANTH, 270,Alumni,0203,F,12:20 - 13:10,21,1900-01-01 13:05:00,1900-01-01 13:55:00
2482,2482,PLCY, 698,Alumni,0203,F,13:25 - 14:15,5,1900-01-01 14:25:00,1900-01-01 15:15:00
151,151,ANTH, 147,Alumni,0203,F,15:35 - 16:25,18,1900-01-01 15:45:00,1900-01-01 16:35:00
152,152,ANTH, 147,Alumni,0203,F,16:40 - 17:30,18,1900-01-01 17:05:00,1900-01-01 17:55:00
153,153,ANTH, 147,Alumni,0203,F,17:45 - 18:35,14,1900-01-01 18:25:00,1900-01-01 19:15:00
150,150,ANTH, 147,Alumni,0205,F,10:10 - 11:00,23,1900-01-01 10:10:00,1900-01-01 11:00:00
97,97,ANTH,  62,Alumni,0205,MWF,11:15 - 12:05,23,1900-01-01 11:30:00,1900-01-01 12:20:00
211,211,ANTH, 406,Alumni,0205,MWF,12:20 - 13:10,15,1900-01-01 12:50:00,1900-01-01 13:40:00
187,187,ANTH, 270,Alumni,0205,F,15:35 - 16:25,18,1900-01-01 15:35:00,1900-01-01 16:25:00
188,188,ANTH, 270,Alumni,0205,F,16:40 - 17:30,9,1900-01-01 16:55:00,1900-01-01 17:45:00
1980,1980,IDST, 190,Alumni,0207,F,08:00 - 08:50,14,1900-01-01 08:00:00,1900-01-01 08:50:00
2459,2459,PLCY, 110,Alumni,0207,F,09:05 - 09:55,19,1900-01-01 09:20:00,1900-01-01 10:10:00
2460,2460,PLCY, 110,Alumni,0207,F,10:10 - 11:00,24,1900-01-01 10:40:00,1900-01-01 11:30:00
