,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
198,198,ANTH, 291,Alumni,0203,TuTh,09:30 - 10:45,25,1900-01-01 09:30:00,1900-01-01 10:45:00
223,223,ANTH, 490,Alumni,0203,TuTh,11:00 - 12:15,26,1900-01-01 11:15:00,1900-01-01 12:30:00
1996,1996,LING, 101,Alumni,0203,TuTh,12:30 - 13:45,24,1900-01-01 13:00:00,1900-01-01 14:15:00
309,309,ASIA,  52,Alumni,0203,TuTh,14:00 - 15:15,24,1900-01-01 14:45:00,1900-01-01 16:00:00
1753,1753,HIST, 120,Alumni,0203,Tu,15:30 - 16:20,15,1900-01-01 16:30:00,1900-01-01 17:20:00
828,828,COMM, 170,Alumni,0205,TuTh,08:00 - 09:15,23,1900-01-01 08:00:00,1900-01-01 09:15:00
96,96,ANTH,  53H,Alumni,0205,TuTh,09:30 - 10:45,20,1900-01-01 09:45:00,1900-01-01 11:00:00
1728,1728,HIST,  50,Alumni,0205,TuTh,11:00 - 12:15,21,1900-01-01 11:30:00,1900-01-01 12:45:00
2337,2337,PHYS,  50,Alumni,0205,TuTh,11:00 - 12:15,3,1900-01-01 13:15:00,1900-01-01 14:30:00
200,200,ANTH, 315,Alumni,0205,TuTh,12:30 - 13:45,22,1900-01-01 15:00:00,1900-01-01 16:15:00
832,832,COMM, 224,Alumni,0205,TuTh,14:00 - 15:15,17,1900-01-01 16:45:00,1900-01-01 18:00:00
3259,3259,WGST, 224,Alumni,0205,TuTh,14:00 - 15:15,8,1900-01-01 18:30:00,1900-01-01 19:45:00
1973,1973,HNRS, 353,Alumni,0205,TuTh,15:30 - 16:45,8,1900-01-01 20:15:00,1900-01-01 21:30:00
1427,1427,ENEC, 330,Alumni,0207,TuTh,11:00 - 12:15,29,1900-01-01 11:00:00,1900-01-01 12:15:00
1730,1730,HIST,  59,Alumni,0207,TuTh,14:00 - 15:15,23,1900-01-01 14:00:00,1900-01-01 15:15:00
202,202,ANTH, 318,Alumni,0308,Tu,08:00 - 08:50,16,1900-01-01 08:00:00,1900-01-01 08:50:00
229,229,ANTH, 701,Alumni,0308,Tu,09:30 - 12:00,12,1900-01-01 09:30:00,1900-01-01 12:00:00
1759,1759,HIST, 120,Alumni,0308,Tu,14:00 - 14:50,14,1900-01-01 14:00:00,1900-01-01 14:50:00
212,212,ANTH, 411,Alumni,0404,TuTh,09:30 - 10:45,20,1900-01-01 09:30:00,1900-01-01 10:45:00
213,213,ANTH, 411,Alumni,0404,Tu,11:00 - 12:15,20,1900-01-01 11:15:00,1900-01-01 12:30:00
269,269,ARTS, 103,Art Laboratory,0121,TuTh,08:00 - 10:45,14,1900-01-01 08:00:00,1900-01-01 10:45:00
