,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
2928,2928,ITAL, 101,Alumni,0203,MWF,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
99,99,ANTH,  89,Alumni,0203,MWF,10:10 - 11:00,22,1900-01-01 10:25:00,1900-01-01 11:15:00
2890,2890,FREN, 101,Alumni,0203,MWF,11:15 - 12:05,15,1900-01-01 11:45:00,1900-01-01 12:35:00
117,117,ANTH, 101,Alumni,0203,W,12:20 - 13:10,13,1900-01-01 13:05:00,1900-01-01 13:55:00
118,118,ANTH, 101,Alumni,0203,W,13:25 - 14:15,14,1900-01-01 14:25:00,1900-01-01 15:15:00
119,119,ANTH, 101,Alumni,0203,W,14:30 - 15:20,15,1900-01-01 15:45:00,1900-01-01 16:35:00
195,195,ANTH, 280,Alumni,0203,W,16:40 - 17:30,18,1900-01-01 17:05:00,1900-01-01 17:55:00
2758,2758,PWAD, 280,Alumni,0203,W,16:40 - 17:30,1,1900-01-01 18:25:00,1900-01-01 19:15:00
196,196,ANTH, 280,Alumni,0203,W,17:45 - 18:35,15,1900-01-01 19:45:00,1900-01-01 20:35:00
2759,2759,PWAD, 280,Alumni,0203,W,17:45 - 18:35,2,1900-01-01 21:05:00,1900-01-01 21:55:00
191,191,ANTH, 280,Alumni,0205,W,08:00 - 08:55,16,1900-01-01 08:00:00,1900-01-01 08:55:00
2754,2754,PWAD, 280,Alumni,0205,W,08:00 - 08:55,3,1900-01-01 09:25:00,1900-01-01 10:20:00
126,126,ANTH, 102,Alumni,0205,W,09:05 - 09:55,14,1900-01-01 10:50:00,1900-01-01 11:40:00
192,192,ANTH, 280,Alumni,0205,W,10:10 - 11:00,14,1900-01-01 12:10:00,1900-01-01 13:00:00
2755,2755,PWAD, 280,Alumni,0205,W,10:10 - 11:00,2,1900-01-01 13:30:00,1900-01-01 14:20:00
97,97,ANTH,  62,Alumni,0205,MWF,11:15 - 12:05,23,1900-01-01 14:50:00,1900-01-01 15:40:00
