,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
2928,2928,ITAL, 101,Alumni,0203,MWF,09:05 - 09:55,18,1900-01-01 09:05:00,1900-01-01 09:55:00
99,99,ANTH,  89,Alumni,0203,MWF,10:10 - 11:00,22,1900-01-01 10:10:00,1900-01-01 11:00:00
2890,2890,FREN, 101,Alumni,0203,MWF,11:15 - 12:05,15,1900-01-01 11:15:00,1900-01-01 12:05:00
131,131,ANTH, 123,Alumni,0203,M,12:20 - 13:10,20,1900-01-01 12:20:00,1900-01-01 13:10:00
228,228,ANTH, 691H,Alumni,0203,M,13:25 - 15:55,8,1900-01-01 13:25:00,1900-01-01 15:55:00
124,124,ANTH, 102,Alumni,0203,M,16:40 - 17:30,19,1900-01-01 16:40:00,1900-01-01 17:30:00
111,111,ANTH, 101,Alumni,0205,M,08:00 - 08:50,16,1900-01-01 08:00:00,1900-01-01 08:50:00
112,112,ANTH, 101,Alumni,0205,M,09:05 - 09:55,17,1900-01-01 09:05:00,1900-01-01 09:55:00
113,113,ANTH, 101,Alumni,0205,M,10:10 - 11:00,17,1900-01-01 10:10:00,1900-01-01 11:00:00
97,97,ANTH,  62,Alumni,0205,MWF,11:15 - 12:05,23,1900-01-01 11:15:00,1900-01-01 12:05:00
211,211,ANTH, 406,Alumni,0205,MWF,12:20 - 13:10,15,1900-01-01 12:20:00,1900-01-01 13:10:00
132,132,ANTH, 123,Alumni,0205,M,13:25 - 14:15,19,1900-01-01 13:25:00,1900-01-01 14:15:00
133,133,ANTH, 123,Alumni,0205,M,14:30 - 15:20,20,1900-01-01 14:30:00,1900-01-01 15:20:00
135,135,ANTH, 145,Alumni,0205,M,15:35 - 16:25,19,1900-01-01 15:35:00,1900-01-01 16:25:00
136,136,ANTH, 145,Alumni,0205,M,16:40 - 17:30,21,1900-01-01 16:40:00,1900-01-01 17:30:00
224,224,ANTH, 490,Alumni,0205,MW,17:45 - 19:00,11,1900-01-01 17:45:00,1900-01-01 19:00:00
2437,2437,PLAN, 769,Alumni,0207,MW,09:05 - 10:20,18,1900-01-01 09:05:00,1900-01-01 10:20:00
122,122,ANTH, 102,Alumni,0207,M,12:20 - 13:10,20,1900-01-01 12:20:00,1900-01-01 13:10:00
938,938,DRAM, 115,Alumni,0207,MWF,13:25 - 14:15,35,1900-01-01 13:25:00,1900-01-01 14:15:00
222,222,ANTH, 490,Alumni,0207,MW,14:30 - 15:45,18,1900-01-01 14:30:00,1900-01-01 15:45:00
128,128,ANTH, 123,Alumni,0308,M,09:05 - 09:55,16,1900-01-01 09:05:00,1900-01-01 09:55:00
129,129,ANTH, 123,Alumni,0308,M,10:10 - 11:00,20,1900-01-01 10:10:00,1900-01-01 11:00:00
121,121,ANTH, 102,Alumni,0308,M,11:15 - 12:05,14,1900-01-01 11:15:00,1900-01-01 12:05:00
138,138,ANTH, 145,Alumni,0308,M,12:20 - 13:10,19,1900-01-01 12:20:00,1900-01-01 13:10:00
139,139,ANTH, 145,Alumni,0308,M,13:25 - 14:15,18,1900-01-01 13:25:00,1900-01-01 14:15:00
140,140,ANTH, 145,Alumni,0308,M,14:30 - 15:20,18,1900-01-01 14:30:00,1900-01-01 15:20:00
137,137,ANTH, 145,Alumni,0308,M,17:45 - 18:35,18,1900-01-01 17:45:00,1900-01-01 18:35:00
214,214,ANTH, 414,Alumni,0404,MWF,12:20 - 13:10,13,1900-01-01 12:20:00,1900-01-01 13:10:00
215,215,ANTH, 414L,Alumni,0404,MWF,13:25 - 14:15,13,1900-01-01 13:25:00,1900-01-01 14:15:00
268,268,ARTS, 103,Art Laboratory,0121,MW,08:00 - 10:45,15,1900-01-01 08:00:00,1900-01-01 10:45:00
282,282,ARTS, 233,Art Laboratory,0121,MW,11:15 - 14:00,14,1900-01-01 11:15:00,1900-01-01 14:00:00
284,284,ARTS, 243,Art Laboratory,0121,MW,14:30 - 17:15,14,1900-01-01 14:30:00,1900-01-01 17:15:00
2590,2590,POLI, 271,Bingham,0101,MWF,11:15 - 12:05,29,1900-01-01 11:15:00,1900-01-01 12:05:00
1734,1734,HIST, 108,Bingham,0103,MW,09:05 - 09:55,108,1900-01-01 09:05:00,1900-01-01 09:55:00
1841,1841,HIST, 158,Bingham,0103,MWF,10:10 - 11:00,46,1900-01-01 10:10:00,1900-01-01 11:00:00
1765,1765,HIST, 127,Bingham,0103,MWF,11:15 - 12:05,107,1900-01-01 11:15:00,1900-01-01 12:05:00
1911,1911,HIST, 289,Bingham,0103,MW,12:20 - 13:10,106,1900-01-01 12:20:00,1900-01-01 13:10:00
1447,1447,EURO, 159,Bingham,0103,MW,14:30 - 15:20,7,1900-01-01 14:30:00,1900-01-01 15:20:00
1845,1845,HIST, 159,Bingham,0103,MW,14:30 - 15:20,40,1900-01-01 14:30:00,1900-01-01 15:20:00
2708,2708,PSYC, 501,Bingham,0108,MWF,12:20 - 13:10,32,1900-01-01 12:20:00,1900-01-01 13:10:00
2414,2414,PLAN, 590,Bingham,0108,M,13:30 - 14:30,16,1900-01-01 13:30:00,1900-01-01 14:30:00
130,130,ANTH, 123,Bingham,0108,M,15:30 - 16:20,19,1900-01-01 15:30:00,1900-01-01 16:20:00
855,855,COMM, 464,Bingham,0203,MW,12:20 - 13:35,12,1900-01-01 12:20:00,1900-01-01 13:35:00
821,821,COMM, 160,Bingham,0203,MW,14:00 - 15:15,18,1900-01-01 14:00:00,1900-01-01 15:15:00
391,391,JAPN, 203,Bingham,0208,MTuWTh,14:30 - 15:20,10,1900-01-01 14:30:00,1900-01-01 15:20:00
3111,3111,SPAN, 328,Bingham,0217,MWF,09:05 - 09:55,22,1900-01-01 09:05:00,1900-01-01 09:55:00
3112,3112,SPAN, 328,Bingham,0217,MWF,10:10 - 11:00,22,1900-01-01 10:10:00,1900-01-01 11:00:00
2896,2896,FREN, 105,Bingham,0217,MWF,11:15 - 12:05,18,1900-01-01 11:15:00,1900-01-01 12:05:00
2908,2908,FREN, 203,Bingham,0217,MWF,12:20 - 13:10,16,1900-01-01 12:20:00,1900-01-01 13:10:00
2910,2910,FREN, 203,Bingham,0217,MWF,13:25 - 14:15,15,1900-01-01 13:25:00,1900-01-01 14:15:00
784,784,COMM,  89,Bingham,0217,MW,17:45 - 19:00,24,1900-01-01 17:45:00,1900-01-01 19:00:00
839,839,COMM, 318,Bingham,0301,MWF,09:05 - 09:55,23,1900-01-01 09:05:00,1900-01-01 09:55:00
3109,3109,SPAN, 325,Bingham,0301,MWF,10:10 - 11:00,13,1900-01-01 10:10:00,1900-01-01 11:00:00
2935,2935,ITAL, 102,Bingham,0301,MWF,11:15 - 12:05,18,1900-01-01 11:15:00,1900-01-01 12:05:00
1938,1938,HIST, 429,Bingham,0301,MWF,13:25 - 14:15,23,1900-01-01 13:25:00,1900-01-01 14:15:00
1422,1422,ENEC, 304,Bingham,0301,MW,15:35 - 16:50,15,1900-01-01 15:35:00,1900-01-01 16:50:00
12,12,AAAD, 286,Bingham,0301,MW,17:45 - 19:00,31,1900-01-01 17:45:00,1900-01-01 19:00:00
1221,1221,ENGL, 266H,Bingham,0309,MWF,09:05 - 09:55,16,1900-01-01 09:05:00,1900-01-01 09:55:00
1097,1097,ENGL, 105,Bingham,0309,MWF,10:10 - 11:00,19,1900-01-01 10:10:00,1900-01-01 11:00:00
1111,1111,ENGL, 105,Bingham,0309,MWF,11:15 - 12:05,19,1900-01-01 11:15:00,1900-01-01 12:05:00
1065,1065,ENGL, 105,Bingham,0309,MWF,12:20 - 13:10,19,1900-01-01 12:20:00,1900-01-01 13:10:00
1085,1085,ENGL, 105,Bingham,0317,MWF,09:05 - 09:55,19,1900-01-01 09:05:00,1900-01-01 09:55:00
2929,2929,ITAL, 101,Bingham,0317,MWF,10:10 - 11:00,18,1900-01-01 10:10:00,1900-01-01 11:00:00
1851,1851,HIST, 161,Bingham,0317,MWF,11:15 - 12:05,40,1900-01-01 11:15:00,1900-01-01 12:05:00
3866,3866,SPHS, 762,Bondurant Hall,2025,M,14:00 - 16:45,27,1900-01-01 14:00:00,1900-01-01 16:45:00
3864,3864,SPHS, 749,Bondurant Hall,3074,M,17:30 - 20:30,7,1900-01-01 17:30:00,1900-01-01 20:30:00
3865,3865,SPHS, 752,Bondurant Hall,4074,M,15:00 - 17:30,21,1900-01-01 15:00:00,1900-01-01 17:30:00
3870,3870,SPHS, 792,Bondurant Hall,G010,M,13:00 - 15:00,20,1900-01-01 13:00:00,1900-01-01 15:00:00
3877,3877,BBSP, 902,Bondurant Hall,G074,M,15:30 - 17:30,11,1900-01-01 15:30:00,1900-01-01 17:30:00
2268,2268,PHIL, 155H,Caldwell,0103,MWF,11:15 - 12:05,24,1900-01-01 11:15:00,1900-01-01 12:05:00
2270,2270,PHIL, 160,Caldwell,0103,MWF,12:20 - 13:10,34,1900-01-01 12:20:00,1900-01-01 13:10:00
2279,2279,PHIL, 163,Caldwell,0103,MWF,13:25 - 14:15,29,1900-01-01 13:25:00,1900-01-01 14:15:00
2283,2283,PHIL, 185H,Caldwell,0103,MW,15:35 - 16:50,21,1900-01-01 15:35:00,1900-01-01 16:50:00
2264,2264,PHIL, 143,Caldwell,0103,MW,17:45 - 19:00,27,1900-01-01 17:45:00,1900-01-01 19:00:00
2266,2266,PHIL, 154,Caldwell,0105,MWF,10:10 - 11:00,41,1900-01-01 10:10:00,1900-01-01 11:00:00
2645,2645,NSCI, 222,Caldwell,0105,MWF,12:20 - 13:10,59,1900-01-01 12:20:00,1900-01-01 13:10:00
1858,1858,HIST, 206,Caldwell,0105,MW,13:25 - 14:15,39,1900-01-01 13:25:00,1900-01-01 14:15:00
2739,2739,PWAD, 206,Caldwell,0105,MW,13:25 - 14:15,27,1900-01-01 13:25:00,1900-01-01 14:15:00
2938,2938,ITAL, 203,Caldwell,0208,MWF,09:05 - 09:55,17,1900-01-01 09:05:00,1900-01-01 09:55:00
2904,2904,FREN, 203,Caldwell,0208,MWF,10:10 - 11:00,18,1900-01-01 10:10:00,1900-01-01 11:00:00
2922,2922,FREN, 372,Caldwell,0208,MWF,11:15 - 12:05,7,1900-01-01 11:15:00,1900-01-01 12:05:00
2907,2907,FREN, 203,Caldwell,0208,MWF,12:20 - 13:10,17,1900-01-01 12:20:00,1900-01-01 13:10:00
2900,2900,FREN, 105,Caldwell,0208,MWF,13:25 - 14:15,17,1900-01-01 13:25:00,1900-01-01 14:15:00
2309,2309,PHIL, 397,Caldwell,0208,MW,15:35 - 16:50,15,1900-01-01 15:35:00,1900-01-01 16:50:00
2005,2005,LING, 455,Caldwell,0213,MW,10:10 - 11:25,3,1900-01-01 10:10:00,1900-01-01 11:25:00
2312,2312,PHIL, 455,Caldwell,0213,MW,10:10 - 11:25,15,1900-01-01 10:10:00,1900-01-01 11:25:00
2310,2310,PHIL, 412,Caldwell,0213,M,15:00 - 17:30,17,1900-01-01 15:00:00,1900-01-01 17:30:00
3646,3646,EDUC, 686,Carolina Ctr Educ Ex,C100,M,09:30 - 12:15,23,1900-01-01 09:30:00,1900-01-01 12:15:00
3645,3645,EDUC, 685,Carolina Ctr Educ Ex,C100,M,13:00 - 15:45,13,1900-01-01 13:00:00,1900-01-01 15:45:00
2803,2803,JWST, 211,Carolina Hall,0104,MWF,10:10 - 11:00,4,1900-01-01 10:10:00,1900-01-01 11:00:00
2860,2860,RELI, 211,Carolina Hall,0104,MWF,10:10 - 11:00,21,1900-01-01 10:10:00,1900-01-01 11:00:00
3586,3586,EDUC, 101,Carolina Hall,0104,MW,11:15 - 12:05,24,1900-01-01 11:15:00,1900-01-01 12:05:00
3587,3587,EDUC, 101,Carolina Hall,0104,MW,12:20 - 13:10,26,1900-01-01 12:20:00,1900-01-01 13:10:00
2781,2781,JWST, 100,Carolina Hall,0104,MW,13:25 - 14:15,10,1900-01-01 13:25:00,1900-01-01 14:15:00
2838,2838,RELI, 123,Carolina Hall,0104,MW,13:25 - 14:15,14,1900-01-01 13:25:00,1900-01-01 14:15:00
2804,2804,JWST, 420H,Carolina Hall,0104,M,15:35 - 18:25,4,1900-01-01 15:35:00,1900-01-01 18:25:00
2867,2867,RELI, 420H,Carolina Hall,0104,M,15:35 - 18:25,19,1900-01-01 15:35:00,1900-01-01 18:25:00
1600,1600,GEOG, 437,Carolina Hall,0204,MWF,10:10 - 11:00,21,1900-01-01 10:10:00,1900-01-01 11:00:00
1582,1582,GEOG, 215,Carolina Hall,0204,MWF,11:15 - 12:05,21,1900-01-01 11:15:00,1900-01-01 12:05:00
831,831,COMM, 171,Carolina Hall,0204,MWF,12:20 - 13:10,25,1900-01-01 12:20:00,1900-01-01 13:10:00
1601,1601,GEOG, 451,Carolina Hall,0204,MWF,13:25 - 14:15,15,1900-01-01 13:25:00,1900-01-01 14:15:00
1603,1603,GEOG, 458,Carolina Hall,0204,MWF,14:30 - 15:20,8,1900-01-01 14:30:00,1900-01-01 15:20:00
2805,2805,RELI,  63,Carolina Hall,0204,MW,17:00 - 18:15,20,1900-01-01 17:00:00,1900-01-01 18:15:00
349,349,CHIN, 101,Carolina Hall,0213,MW,13:25 - 14:15,12,1900-01-01 13:25:00,1900-01-01 14:15:00
388,388,JAPN, 101,Carolina Hall,0213,MTuWTh,14:30 - 15:20,21,1900-01-01 14:30:00,1900-01-01 15:20:00
384,384,JAPN, 101,Carolina Hall,0213,MTuWTh,15:35 - 16:25,20,1900-01-01 15:35:00,1900-01-01 16:25:00
4,4,AAAD, 201,Carolina Hall,0220,MWF,08:00 - 08:50,32,1900-01-01 08:00:00,1900-01-01 08:50:00
1583,1583,GEOG, 225,Carolina Hall,0220,MWF,09:05 - 09:55,43,1900-01-01 09:05:00,1900-01-01 09:55:00
3261,3261,WGST, 225,Carolina Hall,0220,MWF,09:05 - 09:55,5,1900-01-01 09:05:00,1900-01-01 09:55:00
